dataset,method,window,subject,classes,samples,accuracy,c0,c1,c_ba,ba_converged,i_uniform,itr_c1_bpm,itr_ba_bpm,itr_mi_bpm
JBHI16,BPRCA,0.2,aggregate,16,1248,0.43349358974358976,4.0,0.7995217115506756,1.302134232498201,True,1.0849195776223746,68.53043241862935,111.61150564270295,92.9931066533464
JBHI16,BPRCA,0.4,aggregate,16,1248,0.5873397435897436,4.0,1.4099052692227247,1.924202306060473,True,1.7548471584347523,93.99368461484832,128.28015373736488,116.98981056231682
JBHI16,BPRCA,0.6,aggregate,16,1248,0.6458333333333334,4.0,1.6785752867351793,2.16233402405717,True,2.00729529150809,91.55865200373704,117.94549222130017,109.48883408225946
JBHI16,BPRCA,0.8,aggregate,16,1248,0.6891025641025641,4.0,1.8911510522270432,2.365697024664117,True,2.24176126536599,87.28389471817123,109.18601652295924,103.46590455535338
JBHI16,BPRCA,1.0,aggregate,16,1248,0.7155448717948718,4.0,2.027214490850415,2.4347277758033625,True,2.329664563452879,81.0885796340166,97.38911103213451,93.18658253811518
JBHI16,BPRCA,1.2,aggregate,16,1248,0.7227564102564102,4.0,2.0651718587484194,2.477891357766385,True,2.378872489888343,72.88841854406186,87.45498909763712,83.96020552547094
JBHI16,BPRCA,1.4,aggregate,16,1248,0.7467948717948718,4.0,2.19443654318059,2.5746282629525066,True,2.504934359184263,69.29799610043969,81.30405040902653,79.10319029002937
JBHI16,BPRCA,1.6,aggregate,16,1248,0.7548076923076923,4.0,2.238491674361298,2.668768758975914,True,2.5862987918129754,63.95690498175137,76.2505359707404,73.89425119465643
JBHI16,BPRCA,1.8,aggregate,16,1248,0.7652243589743589,4.0,2.2965133862851825,2.725149152254755,True,2.6283727644108,59.90904485961346,71.09084745012404,68.56624602810784
JBHI16,BPRCA,2.0,aggregate,16,1248,0.7732371794871795,4.0,2.341737121437603,2.760702550825552,True,2.6579321848785638,56.201690914502464,66.25686121981325,63.79037243708553
JBHI16,EBPRCA,0.2,aggregate,16,1248,0.5496794871794872,4.0,1.2477800782745483,1.6888619728819654,True,1.5151047692124395,106.95257813781843,144.75959767559704,129.86612307535196
