dataset,method,window,subject,classes,samples,accuracy,c0,c1,c_ba,ba_converged,i_uniform,itr_c1_bpm,itr_ba_bpm,itr_mi_bpm
JBHI35,BPRCA,0.2,S01,35,210,0.24285714285714285,5.129283016944966,0.4775874543833911,3.2260845507507168,True,2.8770318342662455,40.93606751857639,276.52153292149,246.6027286513925
JBHI35,BPRCA,0.2,S03,35,210,0.1619047619047619,5.129283016944966,0.22665769652939627,2.8512165264714366,True,2.6070590384160806,19.42780255966254,244.38998798326602,223.46220329280692
JBHI35,BPRCA,0.2,S04,35,210,0.40476190476190477,5.129283016944966,1.127363261174906,3.582724687310425,True,3.162434505253086,96.63113667213482,307.09068748375074,271.0658147359788
JBHI35,BPRCA,0.2,S05,35,210,0.06666666666666667,5.129283016944966,0.027625030089894587,2.6616279394901396,True,2.472677160204163,2.367859721990965,228.13953767058342,211.94375658892827
JBHI35,BPRCA,0.2,S06,35,210,0.13333333333333333,5.129283016944966,0.15363904797509953,2.7677161353461095,True,2.5530682389312274,13.169061255008533,237.23281160109514,218.8344204798195
JBHI35,BPRCA,0.4,S01,35,210,0.4095238095238095,5.129283016944966,1.149007590123181,3.6234713709414366,True,3.1434163781723425,76.60050600821208,241.56475806276245,209.5610918781562
JBHI35,BPRCA,0.4,S03,35,210,0.3523809523809524,5.129283016944966,0.898368685262378,3.4590743957151764,True,3.0922689506568934,59.89124568415854,230.6049597143451,206.15126337712624
JBHI35,BPRCA,0.4,S04,35,210,0.580952380952381,5.129283016944966,2.016386106863246,4.107910228648942,True,3.817284777873316,134.42574045754975,273.8606819099295,254.48565185822108
JBHI35,BPRCA,0.4,S05,35,210,0.13333333333333333,5.129283016944966,0.15363904797509953,2.7690708960018786,True,2.52534362287918,10.24260319833997,184.60472640012526,168.35624152527868
JBHI35,BPRCA,0.4,S06,35,210,0.2904761904761905,5.129283016944966,0.6502714221069281,3.111083618619724,True,2.7669459477928844,43.35142814046188,207.40557457464828,184.4630631861923
JBHI35,BPRCA,0.6,S01,35,210,0.5142857142857142,5.129283016944966,1.6588185721703317,3.716780920446306,True,3.3591322951590317,90.48101302747263,202.73350475161666,183.22539791776535
JBHI35,BPRCA,0.6,S03,35,210,0.4857142857142857,5.129283016944966,1.5134624909917518,3.8183708502321507,True,3.3839233306169083,82.55249950864099,208.27477364902637,184.57763621546772
JBHI35,BPRCA,0.6,S04,35,210,0.7142857142857143,5.129283016944966,2.812601636592524,4.279722969847216,True,4.072547530472369,153.41463472322857,233.43943471893905,222.13895620758376
JBHI35,BPRCA,0.6,S05,35,210,0.11428571428571428,5.129283016944966,0.11053535837807438,2.9283306536803324,True,2.6703458406067577,6.029201366076784,159.72712656438176,145.6552276694595
JBHI35,BPRCA,0.6,S06,35,210,0.38095238095238093,5.129283016944966,1.0211893750985768,3.4298774633619,True,3.026418095931997,55.701238641740545,187.08422527428542,165.0773506871998
JBHI35,BPRCA,0.8,S01,35,210,0.5571428571428572,5.129283016944966,1.8857060582694327,3.7229058021615016,True,3.4920569009658635,87.03258730474305,171.82642163822314,161.17185696765523
JBHI35,BPRCA,0.8,S03,35,210,0.45714285714285713,5.129283016944966,1.3728236791906192,3.6522872775790556,True,3.3113430400993633,63.361092885720886,168.56710511903333,152.83121723535524
JBHI35,BPRCA,0.8,S04,35,210,0.7523809523809524,5.129283016944966,3.062047765042184,4.455132124740679,True,4.221636480095254,141.32528146348542,205.62148268033903,194.84476061978097
JBHI35,BPRCA,0.8,S05,35,210,0.10952380952380952,5.129283016944966,0.10054053582401501,2.829314408743641,True,2.6580023255665384,4.640332422646846,130.5837419420142,122.67703041076331
JBHI35,BPRCA,0.8,S06,35,210,0.44285714285714284,5.129283016944966,1.3042817335551078,3.576305068481747,True,3.224273294906843,60.197618471774206,165.0602339299268,148.81261361108506
JBHI35,BPRCA,1.0,S01,35,210,0.5476190476190477,5.129283016944966,1.8343644932372296,3.8425940345707685,True,3.537215123310058,73.37457972948918,153.70376138283075,141.48860493240232
JBHI35,BPRCA,1.0,S03,35,210,0.5047619047619047,5.129283016944966,1.6098430391852125,3.843039131081047,True,3.514189981331354,64.3937215674085,153.72156524324188,140.56759925325417
JBHI35,BPRCA,1.0,S04,35,210,0.8238095238095238,5.129283016944966,3.561248607770091,4.601821678747492,True,4.440169075973375,142.44994431080363,184.07286714989968,177.60676303893501
JBHI35,BPRCA,1.0,S05,35,210,0.1380952380952381,5.129283016944966,0.165145976204788,2.8647145521365442,True,2.6415400093297787,6.60583904819152,114.58858208546177,105.66160037319115
JBHI35,BPRCA,1.0,S06,35,210,0.44285714285714284,5.129283016944966,1.3042817335551078,3.545147773594881,True,3.254609394601699,52.17126934220431,141.80591094379525,130.18437578406798
JBHI35,BPRCA,1.2,S01,35,210,0.638095238095238,5.129283016944966,2.343853054555168,4.092314420511396,True,3.765314141336078,82.7242254548883,144.43462660628458,132.89344028244983
JBHI35,BPRCA,1.2,S03,35,210,0.5238095238095238,5.129283016944966,1.708317991374802,3.866459977305476,True,3.4908667970459586,60.29357616616948,136.46329331666388,123.20706342515149
JBHI35,BPRCA,1.2,S04,35,210,0.7952380952380952,5.129283016944966,3.356214161762616,4.549628032910338,True,4.361805889638141,118.4546174739747,160.5751070438943,153.94609022252266
JBHI35,BPRCA,1.2,S05,35,210,0.14761904761904762,5.129283016944966,0.18897683817638722,3.0331081134833098,True,2.729162422011223,6.669770759166608,107.05087459352859,96.32337960039611
JBHI35,BPRCA,1.2,S06,35,210,0.4857142857142857,5.129283016944966,1.5134624909917518,3.6793976584225594,True,3.3289467980046563,53.416323211473596,129.86109382667857,117.49223992957612
JBHI35,BPRCA,1.4,S01,35,210,0.6571428571428571,5.129283016944966,2.457483454370317,4.169206254863964,True,3.8578909151358527,77.6047406643258,131.65914489044096,121.82813416218482
JBHI35,BPRCA,1.4,S03,35,210,0.5619047619047619,5.129283016944966,1.9115755868355633,3.9336392107203983,True,3.6297030881426062,60.36554484743885,124.2201856016968,114.62220278345073
JBHI35,BPRCA,1.4,S04,35,210,0.8142857142857143,5.129283016944966,3.492049002956715,4.567466949725549,True,4.4284929071863965,110.27523167231733,144.23579841238578,139.84714443746518
JBHI35,BPRCA,1.4,S05,35,210,0.16666666666666666,5.129283016944966,0.23970822758799581,2.9777636775521277,True,2.6814111613381137,7.569733502778816,94.03464244901457,84.67614193699308
JBHI35,BPRCA,1.4,S06,35,210,0.5142857142857142,5.129283016944966,1.6588185721703317,3.722079530371628,True,3.3877679189953884,52.38374438432627,117.53935359068299,106.98214481038069
JBHI35,BPRCA,1.6,S01,35,210,0.7380952380952381,5.129283016944966,2.96724516971977,4.33934521351258,True,4.105126301955403,84.77843342056485,123.98129181464513,117.28932291301152
JBHI35,BPRCA,1.6,S03,35,210,0.638095238095238,5.129283016944966,2.343853054555168,4.18953310245193,True,3.8606624513066174,66.96723013014766,119.70094578434083,110.30464146590334
JBHI35,BPRCA,1.6,S04,35,210,0.8333333333333334,5.129283016944966,3.6313501217548887,4.648026415315483,True,4.502991940352864,103.75286062156825,132.80075472329952,128.6569125815104
JBHI35,BPRCA,1.6,S05,35,210,0.21904761904761905,5.129283016944966,0.3977921315213795,3.064618979923482,True,2.7468128834527206,11.365489472039414,87.56054228352805,78.48036809864915
JBHI35,BPRCA,1.6,S06,35,210,0.5238095238095238,5.129283016944966,1.708317991374802,3.7846902341785458,True,3.4621646821999916,48.80908546785148,108.13400669081558,98.91899091999976
JBHI35,BPRCA,1.8,S01,35,210,0.7571428571428571,5.129283016944966,3.0939969155978506,4.498352337981831,True,4.2299328970935255,80.71296301559612,117.34832186039559,110.34607557635285
JBHI35,BPRCA,1.8,S03,35,210,0.7142857142857143,5.129283016944966,2.812601636592524,4.307573963684651,True,4.134938189541221,73.3722166067615,112.37149470481698,107.86795277064056
JBHI35,BPRCA,1.8,S04,35,210,0.8476190476190476,5.129283016944966,3.7382838792407864,4.6993341112970075,True,4.570320347435806,97.5204490236727,122.59132464253064,119.22574819397757
JBHI35,BPRCA,1.8,S05,35,210,0.22857142857142856,5.129283016944966,0.4291561669901274,3.2409961234108073,True,2.895836851719376,11.195378269307671,84.5477249585428,75.5435700448533
JBHI35,BPRCA,1.8,S06,35,210,0.49047619047619045,5.129283016944966,1.5373612984741198,3.8093664612430507,True,3.471235661686298,40.105077351498785,99.37477724981872,90.55397378312082
JBHI35,BPRCA,2.0,S01,35,210,0.7666666666666667,5.129283016944966,3.158431406501853,4.507375205566157,True,4.308066036077097,75.80235375604447,108.17700493358777,103.39358486585033
JBHI35,BPRCA,2.0,S03,35,210,0.7238095238095238,5.129283016944966,2.8739662372231507,4.388400080022769,True,4.1165948693656045,68.97518969335562,105.32160192054644,98.79827686477451
JBHI35,BPRCA,2.0,S04,35,210,0.861904761904762,5.129283016944966,3.8475000327288438,4.775855598885541,True,4.639167347318277,92.34000078549225,114.62053437325298,111.34001633563864
JBHI35,BPRCA,2.0,S05,35,210,0.2619047619047619,5.129283016944966,0.5446438167434176,3.295076886765658,True,2.983740279370559,13.071451601842021,79.0818452823758,71.60976670489342
JBHI35,BPRCA,2.0,S06,35,210,0.5,5.129283016944966,1.5855515963197968,3.890904133053738,True,3.4958605137358885,38.05323831167512,93.38169919328972,83.90065232966133
JBHI35,EBPRCA,0.2,S01,35,210,0.36666666666666664,5.129283016944966,0.9591449738925131,3.4626476898926426,True,3.0480875123315796,82.21242633364399,296.7983734193694,261.26464391413543
JBHI35,EBPRCA,0.2,S03,35,210,0.23809523809523808,5.129283016944966,0.4612624996153203,3.102350427124545,True,2.737057617537962,39.53678568131317,265.9157508963896,234.60493864611107
JBHI35,EBPRCA,0.2,S04,35,210,0.4095238095238095,5.129283016944966,1.149007590123181,3.5258368687187804,True,3.153544574880195,98.48636486770124,302.21458874732406,270.30382070401674
JBHI35,EBPRCA,0.2,S05,35,210,0.08095238095238096,5.129283016944966,0.04813629991065227,2.662377882534273,True,2.5089139857758034,4.125968563770195,228.2038185029377,215.0497702093546
JBHI35,EBPRCA,0.2,S06,35,210,0.2,5.129283016944966,0.33738464905733156,2.9512230068949385,True,2.622703975581417,28.918684204914136,252.9619720195662,224.80319790697862
JBHI35,EBPRCA,0.4,S01,35,210,0.47619047619047616,5.129283016944966,1.4660578560771658,3.656994847991583,True,3.303717488885037,97.73719040514439,243.79965653277222,220.2478325923358
JBHI35,EBPRCA,0.4,S03,35,210,0.44285714285714284,5.129283016944966,1.3042817335551078,3.710853252734029,True,3.2798236785173014,86.95211557034052,247.3902168489353,218.65491190115344
JBHI35,EBPRCA,0.4,S04,35,210,0.6571428571428571,5.129283016944966,2.457483454370317,4.225107977901458,True,3.89898072620606,163.83223029135448,281.6738651934306,259.93204841373733
JBHI35,EBPRCA,0.4,S05,35,210,0.16666666666666666,5.129283016944966,0.23970822758799581,3.098761212025395,True,2.7467256466681005,15.98054850586639,206.58408080169303,183.11504311120672
JBHI35,EBPRCA,0.4,S06,35,210,0.319047619047619,5.129283016944966,0.7616203117606619,3.0954010115080894,True,2.757663039276056,50.7746874507108,206.36006743387264,183.84420261840376
JBHI35,EBPRCA,0.6,S01,35,210,0.5761904761904761,5.129283016944966,1.9899829002072016,3.927947333886057,True,3.6136581824399796,108.54452182948371,214.25167275742126,197.10862813308978
JBHI35,EBPRCA,0.6,S03,35,210,0.5380952380952381,5.129283016944966,1.783551179487342,3.858564464050518,True,3.4908801373800906,97.28460979021864,210.46715258457368,190.41164385709584
JBHI35,EBPRCA,0.6,S04,35,210,0.719047619047619,5.129283016944966,2.843202965548679,4.40263125778275,True,4.143840448165909,155.08379812083703,240.14352315178635,226.02766080904954
JBHI35,EBPRCA,0.6,S05,35,210,0.16666666666666666,5.129283016944966,0.23970822758799581,3.038823345710219,True,2.7401251615055786,13.074994232072498,165.75400067510284,149.46137244575883
JBHI35,EBPRCA,0.6,S06,35,210,0.40476190476190477,5.129283016944966,1.127363261174906,3.487277309122379,True,3.160605142336327,61.492541518631235,190.21512595212974,172.396644127436
JBHI35,EBPRCA,0.8,S01,35,210,0.6619047619047619,5.129283016944966,2.486251751015157,4.085954419642351,True,3.847946836967691,114.75008081608416,188.58251167580082,177.59754632158572
JBHI35,EBPRCA,0.8,S03,35,210,0.5476190476190477,5.129283016944966,1.8343644932372296,3.845579753126435,True,3.5362077888179964,84.66297661094906,177.48829629814315,163.2095902531383
JBHI35,EBPRCA,0.8,S04,35,210,0.7476190476190476,5.129283016944966,3.0302742187148777,4.447388749832006,True,4.181170777104422,139.85881009453283,205.2640961460926,192.97711278943487
JBHI35,EBPRCA,0.8,S05,35,210,0.18571428571428572,5.129283016944966,0.2942152170279311,2.9816776252042274,True,2.7074267958040683,13.579163862827588,137.61589039404126,124.95815980634161
JBHI35,EBPRCA,0.8,S06,35,210,0.5523809523809524,5.129283016944966,1.859969120302484,3.880081194416266,True,3.5776912500058837,85.84472862934541,179.08067051151997,165.1242115387331
JBHI35,EBPRCA,1.0,S01,35,210,0.680952380952381,5.129283016944966,2.6027973400226903,4.152453253078807,True,3.9118096049767868,104.1118936009076,166.0981301231523,156.47238419907148
JBHI35,EBPRCA,1.0,S03,35,210,0.5761904761904761,5.129283016944966,1.9899829002072016,3.9279259244911757,True,3.6795201927928094,79.59931600828807,157.11703697964703,147.18080771171236
JBHI35,EBPRCA,1.0,S04,35,210,0.8,5.129283016944966,3.389862353807536,4.61723103921971,True,4.396174550726102,135.59449415230145,184.6892415687884,175.84698202904409
JBHI35,EBPRCA,1.0,S05,35,210,0.17142857142857143,5.129283016944966,0.25299432762190577,2.984967988278171,True,2.714320342986086,10.11977310487623,119.39871953112684,108.57281371944345
JBHI35,EBPRCA,1.0,S06,35,210,0.5952380952380952,5.129283016944966,2.096403802365447,3.946993025408043,True,3.6264544777858196,83.85615209461788,157.87972101632172,145.0581791114328
JBHI35,EBPRCA,1.2,S01,35,210,0.7333333333333333,5.129283016944966,2.9359855173370413,4.35789509096316,True,4.153496918397043,103.6230182589544,153.80806203399388,146.59400888460155
JBHI35,EBPRCA,1.2,S03,35,210,0.5571428571428572,5.129283016944966,1.8857060582694327,3.8716342339782273,True,3.5389476118285037,66.55433146833292,136.64591414040802,124.90403335865308
JBHI35,EBPRCA,1.2,S04,35,210,0.8047619047619048,5.129283016944966,3.423715025134875,4.58661862455982,True,4.385742986033991,120.83700088711325,161.88065733740544,154.79092891884676
JBHI35,EBPRCA,1.2,S05,35,210,0.22857142857142856,5.129283016944966,0.4291561669901274,3.0778371430767844,True,2.856751504988746,15.14668824671038,108.62954622623946,100.82652370548516
JBHI35,EBPRCA,1.2,S06,35,210,0.6095238095238096,5.129283016944966,2.17764374402244,4.059802818253907,True,3.759099889870928,76.85801449490965,143.28715829131437,132.67411376015042
JBHI35,EBPRCA,1.4,S01,35,210,0.8,5.129283016944966,3.389862353807536,4.543887338726273,True,4.379844156959615,107.04828485708009,143.49117911767178,138.3108681145142
JBHI35,EBPRCA,1.4,S03,35,210,0.6333333333333333,5.129283016944966,2.31580173155927,4.1033219170643775,True,3.7862378268366603,73.13058099660853,129.57858685466456,119.56540505799981
JBHI35,EBPRCA,1.4,S04,35,210,0.8380952380952381,5.129283016944966,3.666751617755817,4.67901291001164,True,4.542406514200174,115.7921563501837,147.75830242142024,143.44441623790024
JBHI35,EBPRCA,1.4,S05,35,210,0.20476190476190476,5.129283016944966,0.3521884840719398,3.0069458084491556,True,2.683297726753497,11.121741602271785,94.95618342471019,84.73571768695254
JBHI35,EBPRCA,1.4,S06,35,210,0.6428571428571429,5.129283016944966,2.3720460435420714,4.06766732255436,True,3.7838798566440897,74.90671716448647,128.45265229119033,119.49094284139231
JBHI35,EBPRCA,1.6,S01,35,210,0.8,5.129283016944966,3.389862353807536,4.567873895751622,True,4.3800564804959246,96.85321010878674,130.5106827357606,125.14447087131212
